기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,투자조합배당수익,자회사지분매각(일부+전부),국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)",연도
CC(한남대학교 기술지주),2021,8,단독형,②대전/충남/충북,1~2개사,20개 이상(26개),3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2021
CD,2021,1,단독형,⑥강원,1~2개사,10개 미만,1억미만,10억이상~20억미만,1천만원미만,3~5명,0원,0원,0원,0원,0원,0원,2021
CE(한양대학교 기술지주),2021,13,단독형,①서울/경기/인천,1~2개사,20개 이상(32개),3억이상~5억미만,60억이상(98.2억),1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1억원이상~5억원미만,0원,1억원이상~5억원미만,3천만원미만,2021
CF,2021,8,단독형,①서울/경기/인천,6~8개사,10개이상~20개미만,1억이상~3억미만,20억이상~30억미만,5천만원이상~1억원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
D(대구한의대학교 기술지주),2021,4,단독형,④대구/경북,3~5개사,20개 이상(20개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원이상~5천만원미만,2021
E,2021,5,단독형,②대전/충남/충북,1~2개사,10개 미만,5억이상~8억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2021
F,2021,2,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,3억이상~5억미만,10억미만,1억원이상~5억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2021
G,2021,8,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,5천만원이상,3천만원이상~5천만원미만,3천만원이상~5천만원미만,2021
H,2021,4,단독형,①서울/경기/인천,3~5개사,10개 미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
I,2021,4,단독형,⑥강원,0개사,10개이상~20개미만,10억이상~15억미만,10억이상~20억미만,1천만원이상~5천만원미만,3~5명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2021
J(가톨릭대학교 기술지주),2021,9,단독형,①서울/경기/인천,0개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,30억이상,1~2명,30억이상,0원,0원,5천만원이상(30억 이상),1억원이상~5억원미만,0원,2021
K,2021,7,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,40억이상~50억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만,2021
L(경북대학교 기술지주),2021,8,단독형,④대구/경북,1~2개사,20개 이상(25개),1억이상~3억미만,30억이상~40억미만,5천만원이상~1억원미만,9명이상(11명),10억이상~30억미만,0원,3천만원미만,5천만원이상,10억이상,3천만원이상~5천만원미만,2021
M,2021,5,단독형,③부산/울산/경남,3~5개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원미만,5천만원이상~1억원미만,0원,2021
N,2021,12,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2021
O(고려대학교 기술지주),2021,12,단독형,①서울/경기/인천,3~5개사,20개 이상(51개),3억이상~5억미만,60억이상(204.0억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,5억이상~10억미만,5천만원이상,1억원이상~5억원미만,0원,2021
P,2021,2,단독형,①서울/경기/인천,0개사,10개 미만,1억미만,10억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2021
Q,2021,4,단독형,②대전/충남/충북,3~5개사,10개 미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2021
R,2021,0,단독형,⑤광주/전남/전북,0개사,10개 미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2021
S,2021,4,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원,2021
T(한국해양대학교 기술지주),2021,7,단독형,③부산/울산/경남,6~8개사,20개 이상(29개),3억이상~5억미만,10억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2021
U(한밭대학교 기술지주),2021,7,단독형,②대전/충남/충북,9개사 이상(9개),20개 이상(67개),3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,0원,1억원이상~5억원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2021
V,2021,4,단독형,④대구/경북,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원미만,5천만원이상~1억원미만,3천만원미만,2021
W,2021,4,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2021
X(동국대학교 기술지주),2021,11,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,15억이상,30억이상~40억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만,2021
Z,2021,11,단독형,⑤광주/전남/전북,0개사,10개 미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2021
A(강원대학교 기술지주),2022,8,단독형,⑥강원,3~5개사,20개이상(23개),3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,0원,3천만원미만,5천만원이상,1억원이상~5억원미만,3천만원미만,2022
AA(동아대학교 기술지주),2022,10,단독형,③부산/울산/경남,1~2개사,20개이상(27개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2022
AB(동의대학교 기술지주),2022,1,단독형,③부산/울산/경남,9개사 이상(9개),10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,1억원이상~5억원미만,0원,2022
AC,2022,6,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2022
AE(부산대학교 기술지주),2022,12,단독형,③부산/울산/경남,1~2개사,20개이상(36개),5억이상~8억미만,60억이상(71.9억),10억이상~30억미만,9명이상(18명),10억이상~30억미만,1천만원미만,1억원이상~5억원미만,0원,10억이상,5억이상~10억미만,2022
AF(부산지역대학연합기술지주),2022,7,공동형,③부산/울산/경남,0개사,20개이상(41개),8억이상~10억미만,60억이상(162.3억),1억원이상~5억원미만,9명이상(17명),10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,10억이상,0원,2022
AG,2022,13,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
AH(서강대학교 기술지주),2022,13,단독형,①서울/경기/인천,0개사,10개이상~20개미만,15억이상,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2022
AI(서울대학교 기술지주),2022,14,단독형,①서울/경기/인천,1~2개사,20개이상(44개),10억이상~15억미만,60억이상(200.0억),10억이상~30억미만,9명이상(14명),10억이상~30억미만,0원,10억이상,5천만원이상,5억이상~10억미만,0원,2022
AJ,2022,4,단독형,①서울/경기/인천,1~2개사,10개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,3천만원미만,0원,3천만원미만,0원,2022
AK,2022,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원,2022
AL,2022,10,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원,0원,0원,2022
AM,2022,6,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2022
AN,2022,6,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,0원,3천만원미만,0원,2022
AO,2022,5,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원이상~5천만원미만,0원,5천만원이상~1억원미만,0원,2022
AP,2022,1,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2022
AQ(연세대학교 기술지주),2022,11,단독형,①서울/경기/인천,3~5개사,20개이상(38개),8억이상~10억미만,60억이상(165.1억),10억이상~30억미만,9명이상(15명),10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,10억이상,0원,2022
AR,2022,10,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1억원이상~5억원미만,0원,5천만원이상~1억원미만,0원,2022
AT,2022,6,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,0원,5천만원이상~1억원미만,0원,2022
AU(인제대학교 기술지주),2022,4,단독형,③부산/울산/경남,9개사 이상(9개),20개이상(31개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2022
AV(인천대학교 기술지주),2022,13,단독형,①서울/경기/인천,3~5개사,20개이상(25개),8억이상~10억미만,40억이상~50억미만,1천만원미만,1~2명,5천만원이상~1억원미만,1천만원이상~5천만원미만,0원,0원,3천만원이상~5천만원미만,0원,2022
AW,2022,4,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원이상~5천만원미만,0원,5천만원이상~1억원미만,2022
AX(전남대학교 기술지주),2022,11,단독형,⑤광주/전남/전북,3~5개사,20개이상(40개),5억이상~8억미만,50억이상~60억미만,10억이상~30억미만,9명이상(13명),30억이상,0원,1억원이상~5억원미만,0원,10억이상,0원,2022
AY,2022,10,단독형,⑦제주,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2022
AZ,2022,2,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
B(강원지역대학연합기술지주),2022,113,공동형,⑥강원,3~5개사,20개이상(54개),5억이상~8억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2022
BA,2022,12,단독형,⑤광주/전남/전북,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2022
BC(금오공과대학교 기술지주),2022,0,단독형,④대구/경북,9개사 이상(11개),10개이상~20개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
BE,2022,9,단독형,③부산/울산/경남,0개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2022
BF(국민대학교기술지주),2022,4,단독형,①서울/경기/인천,6~8개사,20개이상(30개),5억이상~8억미만,60억이상(120.1억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,3천만원이상~5천만원미만,5천만원이상,1억원이상~5억원미만,5억이상~10억미만,2022
BG,2022,4,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,3천만원이상~5천만원미만,5천만원이상~1억원미만,2022
BH,2022,12,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2022
BI(대경지역 대학 공동기술지주),2022,8,공동형,④대구/경북,1~2개사,20개이상(65개),8억이상~10억미만,60억이상(66.7억),1억원이상~5억원미만,6~8명,10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,3천만원이상~5천만원미만,5천만원이상~1억원미만,2022
BJ,2022,4,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원이상~5천만원미만,0원,2022
BK(순천향대학교 기술지주),2022,8,단독형,②대전/충남/충북,1~2개사,20개이상(34개),5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,0원,2022
BL(엔포유대학연합기술지주),2022,6,공동형,①서울/경기/인천,9개사 이상(9개),20개이상(53개),8억이상~10억미만,10억이상~20억미만,5억이상~10억미만,1~2명,5억이상~10억미만,1천만원미만,0원,5천만원이상,1억원이상~5억원미만,3천만원미만,2022
BM(연세대 바이오헬스 기술지주),2022,1,단독형,①서울/경기/인천,1~2개사,10개미만,15억이상,30억이상~40억미만,10억이상~30억미만,1~2명,5억이상~10억미만,0원,0원,0원,0원,5억이상~10억미만,2022
BN,2022,2,단독형,④대구/경북,1~2개사,10개미만,1억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만,2022
BO(전남지역대학연합 창업기술지주),2022,4,공동형,⑤광주/전남/전북,6~8개사,10개이상~20개미만,10억이상~15억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2022
BP(전북지역대학연합기술지주),2022,11,공동형,⑤광주/전남/전북,1~2개사,20개이상(24개),15억이상,60억이상(69.4억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,5억이상~10억미만,0원,2022
BQ,2022,1,공동형,④대구/경북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원미만,0원,0원,0원,0원,3천만원미만,2022
BR,2022,1,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원미만,0원,0원,2022
BS,2022,3,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,3천만원이상~5천만원미만,0원,5천만원이상~1억원미만,1억원이상~5억원미만,2022
BT,2022,8,단독형,①서울/경기/인천,3~5개사,10개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
BU,2022,4,단독형,③부산/울산/경남,0개사,10개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2022
BV(충남대학교 기술지주),2022,5,단독형,②대전/충남/충북,6~8개사,20개이상(33개),5억이상~8억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,5억이상~10억미만,0원,1억원이상~5억원미만,5천만원이상,1억원이상~5억원미만,0원,2022
BW(충북대학교 기술지주),2022,6,단독형,②대전/충남/충북,9개사 이상(10개),20개이상(29개),8억이상~10억미만,20억이상~30억미만,1천만원미만,6~8명,5천만원이상~1억원미만,0원,0원,1천만원미만,5천만원이상~1억원미만,0원,2022
BX(포항공과대학교 기술지주),2022,10,단독형,④대구/경북,1~2개사,20개이상(22개),8억이상~10억미만,60억이상(61.2억),10억이상~30억미만,9명이상(11명),10억이상~30억미만,0원,5억이상~10억미만,0원,5억이상~10억미만,5억이상~10억미만,2022
BY,2022,6,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2022
BZ,2022,6,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
C(광주지역대학연합기술지주),2022,6,공동형,⑤광주/전남/전북,1~2개사,20개이상(36개),8억이상~10억미만,60억이상(60.9억),5억이상~10억미만,6~8명,10억이상~30억미만,0원,5천만원이상~1억원미만,1천만원이상~5천만원미만,10억이상,0원,2022
CA,2022,0,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
CB,2022,5,단독형,①서울/경기/인천,0개사,10개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
CC(한남대학교 기술지주),2022,9,단독형,②대전/충남/충북,3~5개사,20개이상(31개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,3천만원미만,2022
CD,2022,5,단독형,⑥강원,1~2개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,3~5명,0원,0원,0원,0원,0원,0원,2022
CE(한양대학교 기술지주),2022,14,단독형,①서울/경기/인천,1~2개사,20개이상(34개),5억이상~8억미만,60억이상(103.2억),5억이상~10억미만,6~8명,5억이상~10억미만,0원,1억원이상~5억원미만,0원,1억원이상~5억원미만,5천만원이상~1억원미만,2022
CF,2022,9,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2022
D(대구한의대학교 기술지주),2022,5,단독형,④대구/경북,3~5개사,20개이상(25개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,3천만원이상~5천만원미만,2022
E,2022,6,단독형,②대전/충남/충북,1~2개사,10개미만,5억이상~8억미만,10억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2022
F(전주대학교 기술지주),2022,3,단독형,⑤광주/전남/전북,6~8개사,20개이상(22개),3억이상~5억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만,2022
G,2022,9,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,5억이상~10억미만,3~5명,5억이상~10억미만,1천만원미만,3천만원미만,5천만원이상,1억원이상~5억원미만,3천만원미만,2022
H,2022,5,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1천만원미만,0원,0원,0원,3천만원미만,0원,2022
I,2022,5,단독형,⑥강원,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,5천만원이상~1억원미만,0원,0원,1천만원미만,3천만원미만,5천만원이상~1억원미만,2022
J(가톨릭대학교 기술지주),2022,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2022
K,2022,8,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,5억이상~8억미만,50억이상~60억미만,1천만원이상~5천만원미만,3~5명,1억원이상~5억원미만,0원,0원,5천만원이상,1억원이상~5억원미만,3천만원미만,2022
L(경북대학교 기술지주),2022,9,단독형,④대구/경북,3~5개사,20개이상(28개),5억이상~8억미만,40억이상~50억미만,10억이상~30억미만,9명이상(13명),30억이상,0원,0원,1천만원이상~5천만원미만,10억이상,10억이상,2022
M(경상국립대학교 기술지주),2022,6,단독형,③부산/울산/경남,3~5개사,20개이상(21개사),1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2022
N,2022,13,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만,2022
O(고려대학교 기술지주),2022,13,단독형,①서울/경기/인천,6~8개사,20개이상(57개),5억이상~8억미만,60억이상(205.0억),10억이상~30억미만,9명이상(10명),5억이상~10억미만,0원,5억이상~10억미만,0원,1억원이상~5억원미만,0원,2022
P,2022,3,단독형,①서울/경기/인천,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2022
R,2022,1,단독형,⑤광주/전남/전북,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
S,2022,5,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2022
T(한국해양대학교 기술지주),2022,8,단독형,③부산/울산/경남,3~5개사,20개이상(32개),3억이상~5억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원이상~5천만원미만,0원,2022
V(대구대학교 기술지주),2022,5,단독형,④대구/경북,3~5개사,20개이상(21개),10억이상~15억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원미만,3천만원이상~5천만원미만,0원,2022
W,2022,5,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,1천만원미만,1억원이상~5억원미만,3천만원미만,2022
X(동국대학교 기술지주),2022,12,단독형,①서울/경기/인천,0개사,10개이상~20개미만,15억이상,30억이상~40억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2022
Y,2022,0,단독형,③부산/울산/경남,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2022
Z,2022,12,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2022
,2022,8,단독형,②대전/충남/충북,3~5개사,20개이상,8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2022
,2022,5,단독형,②대전/충남/충북,0개사,10개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원이상~5천만원미만,0원,0원,2022
A(강원대학교 기술지주),2023-12-31,9,단독형,⑥강원,9개사 이상(11개),20개이상(34개),5억이상~8억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,3천만원이상~5천만원미만,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2023
AA(동아대학교 기술지주),2023-12-31,11,단독형,③부산/울산/경남,3~5개사,20개이상(31개),3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원미만,3천만원미만,0원,2023
AB(동의대학교 기술지주),2023-12-31,2,단독형,③부산/울산/경남,6~8개사,20개이상(23개),1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2023
AC,2023-12-31,7,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원이상~5천만원미만,3천만원미만,0원,2023
AE(부산대학교 기술지주),2023-12-31,13,단독형,③부산/울산/경남,1~2개사,20개이상(37개),5억이상~8억미만,60억이상(81.9억),10억이상~30억미만,9명이상(20명),30억이상,0원,1억원이상~5억원미만,0원,10억이상,5억이상~10억미만,2023
AF(부산지역대학연합기술지주),2023-12-31,8,공동형,③부산/울산/경남,1~2개사,20개이상(43개),8억이상~10억미만,60억이상(162.3억),10억이상~30억미만,9명이상(11명),10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,10억이상,0원,2023
AG,2023-12-31,14,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
AH(서강대학교 기술지주),2023-12-31,14,단독형,①서울/경기/인천,0개사,10개이상~20개미만,8억이상~10억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
AI(서울대학교 기술지주),2023-12-31,15,단독형,①서울/경기/인천,1~2개사,20개이상(46개),10억이상~15억미만,60억이상(200.0억),30억이상,9명이상(16명),10억이상~30억미만,0원,10억이상,1천만원이상~5천만원미만,0원,0원,2023
AJ,2023-12-31,5,단독형,①서울/경기/인천,0개사,10개미만,3억이상~5억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,3천만원미만,0원,3천만원이상~5천만원미만,3천만원미만,2023
AK,2023-12-31,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원,2023
AL,2023-12-31,11,단독형,①서울/경기/인천,0개사,10개미만,8억이상~10억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,3천만원미만,0원,0원,0원,2023
AM,2023-12-31,7,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
AN,2023-12-31,7,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2023
AO,2023-12-31,6,단독형,①서울/경기/인천,3~5개사,10개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,0원,5천만원이상~1억원미만,0원,2023
AP,2023-12-31,2,단독형,①서울/경기/인천,6~8개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2023
