사업ID,자회사ID,사업주체,사업유형,사업명,지원금액,시작일자,종료일자,진행현황,종료일자_보정,사업진행일수
P0227,S0908,지자체,기술사업화,기술이전 사업화 지원,540,2021-10-07,2022-11-11,완료,2022-11-11,400.0
P0228,S1547,지자체,R&D지원,창업성장기술개발사업,370,2022-11-26,2025-04-18,진행중,2025-04-18,874.0
P0229,S1215,중앙정부,기술사업화,TIPS 프로그램,290,2022-02-09,2024-04-12,진행중,2024-04-12,793.0
P0230,S0113,중앙정부,R&D지원,디딤돌 기술개발,990,2021-05-21,2024-01-08,진행중,2024-01-08,962.0
P0231,S0524,중앙정부,R&D지원,미래유망 R&D 사업,960,2022-03-17,,완료,2023-12-31,654.0
P0232,S0265,중앙정부,인력양성,첨단산업 인재양성 부트캠프,720,2023-05-04,2025-09-14,진행중,2025-09-14,864.0
P0233,S1652,중앙정부,R&D지원,창업성장기술개발사업,560,2021-01-20,2022-11-01,완료,2022-11-01,650.0
P0234,S1887,중앙정부,R&D지원,미래유망 R&D 사업,740,2022-02-19,2024-08-13,진행중,2024-08-13,906.0
P0235,S1312,중앙정부,R&D지원,창업성장기술개발사업,420,2021-06-25,2024-03-21,진행중,2024-03-21,1000.0
P0236,S1266,중앙정부,기술사업화,실험실 특화형 창업선도대학,120,2022-03-24,2025-01-31,진행중,2025-01-31,1044.0
P0237,S0217,중앙정부,기술사업화,TIPS 프로그램,510,2023-06-11,2024-10-20,진행중,2024-10-20,497.0
P0238,S1528,중앙정부,R&D지원,디딤돌 기술개발,100,2022-06-07,2024-09-12,진행중,2024-09-12,828.0
P0239,S0234,지자체,R&D지원,산학연 Collabo R&D,450,2023-01-15,2025-10-29,진행중,2025-10-29,1018.0
P0240,S1322,공공기관,R&D지원,디딤돌 기술개발,330,2021-07-22,2022-07-14,완료,2022-07-14,357.0
P0241,S1234,중앙정부,인력양성,청년 디지털 일자리 사업,230,2023-09-02,2026-04-30,진행중,2026-04-30,971.0
P0242,S1287,중앙정부,인력양성,첨단산업 인재양성 부트캠프,580,2022-11-29,2025-11-16,진행중,2025-11-16,1083.0
P0243,S1157,지자체,위탁용역,지자체 특화산업 연구용역,810,2021-11-20,,완료,2023-12-31,771.0
P0244,S0901,중앙정부,기술사업화,실험실 특화형 창업선도대학,360,2022-08-29,2023-04-23,완료,2023-04-23,237.0
P0245,S0721,지자체,R&D지원,미래유망 R&D 사업,50,2021-02-28,,완료,2023-12-31,1036.0
P0246,S1704,중앙정부,기술사업화,TIPS 프로그램,790,2022-09-01,2024-07-31,진행중,2024-07-31,699.0
P0247,S0788,중앙정부,기술사업화,TIPS 프로그램,580,2023-07-20,2026-04-24,진행중,2026-04-24,1009.0
P0248,S1171,지자체,R&D지원,미래유망 R&D 사업,650,2021-06-04,,완료,2023-12-31,940.0
P0249,S0923,중앙정부,위탁용역,지자체 특화산업 연구용역,920,2021-03-28,2023-02-22,완료,2023-02-22,696.0
P0250,S1324,중앙정부,R&D지원,미래유망 R&D 사업,570,2022-06-21,2024-06-05,진행중,2024-06-05,715.0
P0251,S1249,중앙정부,R&D지원,산학연 Collabo R&D,500,2022-02-23,2024-10-23,진행중,2024-10-23,973.0
P0252,S0693,지자체,R&D지원,산학연 Collabo R&D,90,2021-12-04,,완료,2023-12-31,757.0
P0253,S1143,지자체,R&D지원,디딤돌 기술개발,430,2021-03-25,2023-05-10,완료,2023-05-10,776.0
P0254,S1360,중앙정부,R&D지원,미래유망 R&D 사업,170,2022-09-02,2010-01-01,진행중,2010-01-01,
P0255,S0174,중앙정부,R&D지원,산학연 Collabo R&D,170,2022-11-18,2025-05-05,진행중,2025-05-05,899.0
P0256,S1698,민간기업,위탁용역,공공기관 시스템 구축 용역,120,2022-10-24,2025-03-08,진행중,2025-03-08,866.0
P0257,S0868,지자체,R&D지원,산학연 Collabo R&D,240,2023-09-01,2024-10-04,진행중,2024-10-04,399.0
P0258,S0700,민간기업,기술사업화,초기창업패키지,180,2021-06-08,2022-02-22,완료,2022-02-22,259.0
P0259,S0606,공공기관,R&D지원,창업성장기술개발사업,850,2021-12-11,2024-11-22,진행중,2024-11-22,1077.0
P0260,S1570,지자체,기술사업화,초기창업패키지,210,2021-07-05,2024-05-01,진행중,2024-05-01,1031.0
P0261,S1419,공공기관,펀드운용,대학창업펀드 조성사업,930,2022-03-25,2022-11-04,완료,2022-11-04,224.0
P0262,S0842,중앙정부,인력양성,산학연계 인력양성,790,2021-10-19,2024-05-26,진행중,2024-05-26,950.0
P0263,S1534,공공기관,R&D지원,디딤돌 기술개발,400,2023-09-16,2026-06-20,진행중,2026-06-20,1008.0
P0264,S1607,중앙정부,펀드운용,지역혁신 벤처펀드,870,2023-08-28,2025-09-30,진행중,2025-09-30,764.0
P0265,S0903,중앙정부,R&D지원,미래유망 R&D 사업,650,2022-06-25,2024-02-23,진행중,2024-02-23,608.0
P0266,S0332,공공기관,펀드운용,대학창업펀드 조성사업,330,2021-02-23,2023-06-09,완료,2023-06-09,836.0
P0267,S0985,민간기업,기술사업화,TIPS 프로그램,920,2023-05-17,2025-04-24,진행중,2025-04-24,708.0
P0268,S1744,중앙정부,R&D지원,디딤돌 기술개발,350,2022-04-06,2024-03-11,진행중,2024-03-11,705.0
P0269,S0302,공공기관,R&D지원,디딤돌 기술개발,580,2023-06-25,2024-12-13,진행중,2024-12-13,537.0
P0270,S0055,중앙정부,R&D지원,산학연 Collabo R&D,310,2022-01-31,2022-10-21,완료,2022-10-21,263.0
P0271,S0768,중앙정부,R&D지원,창업성장기술개발사업,920,2022-10-28,2024-04-03,진행중,2024-04-03,523.0
P0272,S1621,중앙정부,R&D지원,미래유망 R&D 사업,900,2023-05-02,2024-03-19,진행중,2024-03-19,322.0
P0273,S1555,공공기관,기술사업화,TIPS 프로그램,110,2021-01-20,2022-04-07,완료,2022-04-07,442.0
P0274,S0442,공공기관,기술사업화,기술이전 사업화 지원,150,2023-03-06,2024-06-23,진행중,2024-06-23,475.0
P0275,S0487,중앙정부,R&D지원,미래유망 R&D 사업,820,2023-03-24,2025-06-18,진행중,2025-06-18,817.0
P0276,S0937,중앙정부,펀드운용,지역혁신 벤처펀드,770,2022-07-03,2023-01-15,완료,2023-01-15,196.0
P0277,S1295,지자체,R&D지원,디딤돌 기술개발,380,2022-03-16,2022-09-13,완료,2022-09-13,181.0
P0278,S1260,중앙정부,기술사업화,초기창업패키지,860,2022-11-16,2023-08-10,완료,2023-08-10,267.0
P0279,S1073,대학,R&D지원,창업성장기술개발사업,500,2023-06-14,2025-04-05,진행중,2025-04-05,661.0
P0280,S0090,지자체,위탁용역,지자체 특화산업 연구용역,960,2021-01-17,2022-07-16,완료,2022-07-16,545.0
P0281,S1615,중앙정부,R&D지원,창업성장기술개발사업,990,2022-08-19,2025-03-08,진행중,2025-03-08,932.0
P0282,S1550,중앙정부,R&D지원,산학연 Collabo R&D,830,2021-06-29,2024-04-24,진행중,2024-04-24,1030.0
P0283,S1596,지자체,위탁용역,지자체 특화산업 연구용역,810,2021-07-06,2024-04-11,진행중,2024-04-11,1010.0
P0284,S0277,중앙정부,인력양성,산학연계 인력양성,50,2021-10-28,2022-11-18,완료,2022-11-18,386.0
P0285,S0090,공공기관,위탁용역,지자체 특화산업 연구용역,400,2022-06-12,,진행중,2023-12-31,567.0
P0286,S1670,지자체,R&D지원,디딤돌 기술개발,370,2022-01-01,,진행중,2023-12-31,729.0
P0287,S1600,중앙정부,기술사업화,실험실 특화형 창업선도대학,160,2023-03-30,2024-10-06,진행중,2024-10-06,556.0
P0288,S0895,민간기업,인력양성,산학연계 인력양성,440,2023-09-25,2024-09-30,진행중,2024-09-30,371.0
P0289,S1017,지자체,R&D지원,산학연 Collabo R&D,110,2023-01-15,2024-09-20,진행중,2024-09-20,614.0
P0290,S0162,중앙정부,위탁용역,신기술 동향 분석 용역,700,2021-10-28,,완료,2023-12-31,794.0
P0291,S0211,중앙정부,기술사업화,실험실 특화형 창업선도대학,580,2022-09-10,,진행중,2023-12-31,477.0
P0292,S0873,중앙정부,기술사업화,기술이전 사업화 지원,60,2023-01-15,2010-01-01,진행중,2010-01-01,
P0293,S1867,중앙정부,위탁용역,지자체 특화산업 연구용역,820,2023-03-22,2023-11-15,완료,2023-11-15,238.0
P0294,S0154,지자체,기술사업화,초기창업패키지,40,2021-05-27,2024-04-10,진행중,2024-04-10,1049.0
P0295,S1245,지자체,기술사업화,초기창업패키지,90,2021-08-30,2024-05-03,진행중,2024-05-03,977.0
P0296,S1322,중앙정부,R&D지원,창업성장기술개발사업,780,2021-06-07,2023-10-30,완료,2023-10-30,875.0
P0297,S0922,민간기업,R&D지원,창업성장기술개발사업,740,2021-05-21,2023-05-13,완료,2023-05-13,722.0
P0298,S0752,중앙정부,기술사업화,초기창업패키지,150,2021-01-27,2023-08-18,완료,2023-08-18,933.0
P0299,S0382,중앙정부,R&D지원,창업성장기술개발사업,340,2023-03-05,2024-05-24,진행중,2024-05-24,446.0
P0300,S1442,중앙정부,위탁용역,지자체 특화산업 연구용역,890,2023-07-28,2025-06-09,진행중,2025-06-09,682.0
P0301,S0410,중앙정부,위탁용역,지자체 특화산업 연구용역,230,2023-07-10,,진행중,2023-12-31,174.0
P0302,S0912,대학,펀드운용,지역혁신 벤처펀드,860,2021-12-22,2024-06-15,진행중,2024-06-15,906.0
P0303,S0133,지자체,R&D지원,산학연 Collabo R&D,210,2022-12-30,2025-06-23,진행중,2025-06-23,906.0
P0304,S1435,지자체,인력양성,첨단산업 인재양성 부트캠프,290,2021-05-05,2022-05-25,완료,2022-05-25,385.0
P0305,S1623,중앙정부,인력양성,청년 디지털 일자리 사업,470,2022-07-22,2024-08-26,진행중,2024-08-26,766.0
P0306,S0756,중앙정부,위탁용역,신기술 동향 분석 용역,790,2023-06-25,2024-03-19,진행중,2024-03-19,268.0
P0307,S0135,중앙정부,위탁용역,공공기관 시스템 구축 용역,620,2022-06-23,2024-02-13,진행중,2024-02-13,600.0
P0308,S1576,중앙정부,기술사업화,초기창업패키지,410,2022-10-20,2023-07-02,완료,2023-07-02,255.0
P0309,S0922,중앙정부,기술사업화,초기창업패키지,1000,2022-07-19,2024-10-31,진행중,2024-10-31,835.0
P0310,S1204,중앙정부,위탁용역,지자체 특화산업 연구용역,650,2023-07-22,2026-06-25,진행중,2026-06-25,1069.0
P0311,S0114,공공기관,기술사업화,실험실 특화형 창업선도대학,220,2021-06-15,2022-11-07,완료,2022-11-07,510.0
P0312,S1453,중앙정부,위탁용역,공공기관 시스템 구축 용역,370,2023-05-17,2024-02-01,진행중,2024-02-01,260.0
P0313,S0514,중앙정부,위탁용역,지자체 특화산업 연구용역,170,2022-10-03,2024-02-05,진행중,2024-02-05,490.0
P0314,S1259,지자체,기술사업화,초기창업패키지,760,2023-08-23,2025-10-05,진행중,2025-10-05,774.0
P0315,S0316,중앙정부,기술사업화,실험실 특화형 창업선도대학,730,2021-02-12,2023-12-04,완료,2023-12-04,1025.0
P0316,S1770,중앙정부,R&D지원,산학연 Collabo R&D,840,2021-08-04,2024-03-26,진행중,2024-03-26,965.0
P0317,S1172,중앙정부,기술사업화,기술이전 사업화 지원,810,2022-07-13,2023-11-01,완료,2023-11-01,476.0
P0318,S1315,대학,기술사업화,기술이전 사업화 지원,390,2022-04-10,2022-12-20,완료,2022-12-20,254.0
P0319,S1411,중앙정부,기술사업화,기술이전 사업화 지원,600,2021-07-28,2023-01-07,완료,2023-01-07,528.0
P0320,S1243,중앙정부,위탁용역,지자체 특화산업 연구용역,940,2023-06-01,2024-11-15,진행중,2024-11-15,533.0
P0321,S0817,중앙정부,R&D지원,창업성장기술개발사업,410,2021-09-05,2023-06-24,완료,2023-06-24,657.0
P0322,S0251,중앙정부,R&D지원,창업성장기술개발사업,70,2021-10-25,2023-05-21,완료,2023-05-21,573.0
P0323,S1770,지자체,R&D지원,디딤돌 기술개발,420,2023-08-15,2025-09-24,진행중,2025-09-24,771.0
P0324,S1477,중앙정부,인력양성,산학연계 인력양성,660,2022-04-24,2024-03-14,진행중,2024-03-14,690.0
P0325,S1801,중앙정부,R&D지원,미래유망 R&D 사업,650,2022-04-14,2023-06-14,완료,2023-06-14,426.0
P0326,S0441,지자체,R&D지원,산학연 Collabo R&D,640,2022-09-04,,진행중,2023-12-31,483.0
P0327,S1727,지자체,기술사업화,TIPS 프로그램,140,2022-03-18,2023-01-29,완료,2023-01-29,317.0
P0328,S1808,중앙정부,R&D지원,미래유망 R&D 사업,470,2021-02-16,2022-09-29,완료,2022-09-29,590.0
P0329,S0105,지자체,R&D지원,산학연 Collabo R&D,100,2022-01-31,2023-12-28,완료,2023-12-28,696.0
P0330,S0923,공공기관,R&D지원,창업성장기술개발사업,170,2023-09-26,2024-07-01,진행중,2024-07-01,279.0
P0331,S0807,중앙정부,위탁용역,공공기관 시스템 구축 용역,470,2023-02-13,2010-01-01,진행중,2010-01-01,
P0332,S0408,지자체,기술사업화,TIPS 프로그램,60,2021-02-09,2021-12-26,완료,2021-12-26,320.0
P0333,S1462,중앙정부,기술사업화,기술이전 사업화 지원,200,2022-09-13,,진행중,2023-12-31,474.0
P0334,S1056,중앙정부,위탁용역,지자체 특화산업 연구용역,210,2022-02-07,2024-04-28,진행중,2024-04-28,811.0
P0335,S1515,공공기관,기술사업화,기술이전 사업화 지원,910,2022-07-31,2023-11-29,완료,2023-11-29,486.0
P0336,S0973,공공기관,R&D지원,창업성장기술개발사업,540,2022-08-21,2023-12-29,완료,2023-12-29,495.0
P0337,S1632,민간기업,위탁용역,공공기관 시스템 구축 용역,40,2022-09-04,2024-06-30,진행중,2024-06-30,665.0
P0338,S0544,대학,인력양성,첨단산업 인재양성 부트캠프,740,2021-08-22,2024-02-26,진행중,2024-02-26,918.0
P0339,S0106,지자체,R&D지원,미래유망 R&D 사업,190,2023-04-22,2025-09-15,진행중,2025-09-15,877.0
P0340,S0497,중앙정부,위탁용역,신기술 동향 분석 용역,250,2021-01-20,2022-10-13,완료,2022-10-13,631.0
P0341,S0643,중앙정부,기술사업화,초기창업패키지,530,2022-05-29,2025-01-26,진행중,2025-01-26,973.0
P0342,S1253,민간기업,위탁용역,공공기관 시스템 구축 용역,940,2021-03-05,2023-08-24,완료,2023-08-24,902.0
P0343,S0283,지자체,기술사업화,기술이전 사업화 지원,680,2022-01-21,2023-06-06,완료,2023-06-06,501.0
P0344,S0355,중앙정부,기술사업화,실험실 특화형 창업선도대학,870,2023-03-02,2026-02-02,진행중,2026-02-02,1068.0
P0345,S1477,지자체,펀드운용,지역혁신 벤처펀드,790,2022-05-11,2010-01-01,완료,2010-01-01,
P0346,S0505,중앙정부,R&D지원,산학연 Collabo R&D,990,2021-10-23,2024-04-11,진행중,2024-04-11,901.0
P0347,S0425,지자체,기술사업화,기술이전 사업화 지원,450,2022-07-28,2025-04-17,진행중,2025-04-17,994.0
P0348,S1478,중앙정부,R&D지원,미래유망 R&D 사업,510,2023-04-19,2024-10-03,진행중,2024-10-03,533.0
P0349,S1584,공공기관,R&D지원,산학연 Collabo R&D,920,2021-03-22,2022-09-07,완료,2022-09-07,534.0
P0350,S0906,지자체,인력양성,청년 디지털 일자리 사업,260,2023-04-28,,진행중,2023-12-31,247.0
P0351,S0556,민간기업,기술사업화,초기창업패키지,140,2022-09-23,2025-04-18,진행중,2025-04-18,938.0
P0352,S1202,중앙정부,R&D지원,디딤돌 기술개발,820,2021-08-27,2022-04-17,완료,2022-04-17,233.0
P0353,S0206,중앙정부,인력양성,청년 디지털 일자리 사업,880,2023-03-01,2024-01-15,진행중,2024-01-15,320.0
P0354,S0011,대학,위탁용역,신기술 동향 분석 용역,530,2022-10-31,2025-10-16,진행중,2025-10-16,1081.0
P0355,S1799,중앙정부,기술사업화,실험실 특화형 창업선도대학,420,2021-10-20,2024-02-08,진행중,2024-02-08,841.0
P0356,S0122,민간기업,R&D지원,디딤돌 기술개발,690,2023-01-27,2025-08-04,진행중,2025-08-04,920.0
P0357,S1742,민간기업,위탁용역,신기술 동향 분석 용역,540,2023-06-23,2026-04-25,진행중,2026-04-25,1037.0
P0358,S0361,민간기업,R&D지원,미래유망 R&D 사업,640,2021-07-10,2024-02-11,진행중,2024-02-11,946.0
P0359,S1787,민간기업,위탁용역,신기술 동향 분석 용역,390,2022-08-05,2024-10-10,진행중,2024-10-10,797.0
P0360,S0220,민간기업,R&D지원,미래유망 R&D 사업,830,2022-07-11,2024-06-26,진행중,2024-06-26,716.0
P0361,S1012,민간기업,R&D지원,미래유망 R&D 사업,350,2021-07-17,2024-04-20,진행중,2024-04-20,1008.0
P0362,S0231,중앙정부,인력양성,첨단산업 인재양성 부트캠프,330,2023-01-06,2024-01-11,진행중,2024-01-11,370.0
P0363,S0029,공공기관,인력양성,첨단산업 인재양성 부트캠프,870,2023-02-15,2024-02-27,진행중,2024-02-27,377.0
P0364,S0360,지자체,기술사업화,기술이전 사업화 지원,550,2022-06-12,2023-11-09,완료,2023-11-09,515.0
P0365,S0178,중앙정부,R&D지원,디딤돌 기술개발,620,2021-11-28,2023-02-05,완료,2023-02-05,434.0
P0366,S0014,중앙정부,R&D지원,산학연 Collabo R&D,430,2021-11-06,2023-12-22,완료,2023-12-22,776.0
P0367,S1481,지자체,R&D지원,산학연 Collabo R&D,890,2021-08-30,,완료,2023-12-31,853.0
P0368,S1368,중앙정부,R&D지원,미래유망 R&D 사업,880,2022-05-30,2025-05-23,진행중,2025-05-23,1089.0
P0369,S1441,공공기관,기술사업화,실험실 특화형 창업선도대학,480,2022-09-22,2023-11-02,완료,2023-11-02,406.0
P0370,S0449,대학,기술사업화,기술이전 사업화 지원,960,2022-09-13,,진행중,2023-12-31,474.0
P0371,S0852,공공기관,위탁용역,공공기관 시스템 구축 용역,860,2023-04-26,2024-06-02,진행중,2024-06-02,403.0
P0372,S1561,중앙정부,인력양성,청년 디지털 일자리 사업,680,2022-04-03,2024-03-23,진행중,2024-03-23,720.0
P0373,S1442,중앙정부,위탁용역,신기술 동향 분석 용역,80,2023-04-29,2025-05-08,진행중,2025-05-08,740.0
P0374,S1850,지자체,기술사업화,초기창업패키지,220,2021-12-02,2024-10-21,진행중,2024-10-21,1054.0
P0375,S1066,중앙정부,기술사업화,기술이전 사업화 지원,120,2023-07-10,2025-06-11,진행중,2025-06-11,702.0
P0376,S0913,공공기관,기술사업화,기술이전 사업화 지원,590,2022-08-01,2023-03-28,완료,2023-03-28,239.0
P0377,S1145,중앙정부,펀드운용,모태펀드 자펀드 운용,30,2022-02-10,2023-04-26,완료,2023-04-26,440.0
P0378,S1673,중앙정부,R&D지원,창업성장기술개발사업,60,2022-03-10,,완료,2023-12-31,661.0
P0379,S1435,중앙정부,위탁용역,신기술 동향 분석 용역,610,2021-02-02,2022-05-21,완료,2022-05-21,473.0
P0380,S0838,중앙정부,R&D지원,미래유망 R&D 사업,480,2023-07-02,2025-01-23,진행중,2025-01-23,571.0
P0381,S0919,민간기업,위탁용역,지자체 특화산업 연구용역,110,2022-12-01,2025-04-06,진행중,2025-04-06,857.0
P0382,S1792,지자체,기술사업화,실험실 특화형 창업선도대학,160,2021-07-02,2023-07-02,완료,2023-07-02,730.0
P0383,S0805,지자체,인력양성,청년 디지털 일자리 사업,10,2023-02-14,2023-09-05,완료,2023-09-05,203.0
P0384,S0612,중앙정부,인력양성,산학연계 인력양성,690,2022-01-24,2024-11-12,진행중,2024-11-12,1023.0
P0385,S0471,중앙정부,R&D지원,산학연 Collabo R&D,250,2023-08-18,2026-07-29,진행중,2026-07-29,1076.0
P0386,S1485,공공기관,R&D지원,미래유망 R&D 사업,790,2023-02-24,2026-02-12,진행중,2026-02-12,1084.0
P0387,S1821,중앙정부,R&D지원,창업성장기술개발사업,770,2021-02-04,,완료,2023-12-31,1060.0
P0388,S1225,지자체,위탁용역,신기술 동향 분석 용역,950,2021-02-15,2022-09-29,완료,2022-09-29,591.0
P0389,S0899,중앙정부,R&D지원,창업성장기술개발사업,180,2022-05-31,2023-09-19,완료,2023-09-19,476.0
P0390,S0480,공공기관,인력양성,산학연계 인력양성,740,2022-09-05,2025-05-03,진행중,2025-05-03,971.0
P0391,S1378,공공기관,R&D지원,디딤돌 기술개발,850,2022-06-18,2023-07-29,완료,2023-07-29,406.0
P0392,S0847,중앙정부,R&D지원,디딤돌 기술개발,810,2022-11-27,,진행중,2023-12-31,399.0
P0393,S1139,중앙정부,위탁용역,공공기관 시스템 구축 용역,860,2022-01-26,2024-10-06,진행중,2024-10-06,984.0
P0394,S1075,중앙정부,기술사업화,초기창업패키지,390,2022-01-21,2023-01-24,완료,2023-01-24,368.0
P0395,S1546,지자체,R&D지원,디딤돌 기술개발,390,2023-05-29,2025-11-18,진행중,2025-11-18,904.0
P0396,S0296,공공기관,위탁용역,공공기관 시스템 구축 용역,530,2023-09-19,2025-05-17,진행중,2025-05-17,606.0
P0397,S1142,지자체,R&D지원,산학연 Collabo R&D,270,2021-12-05,2024-03-26,진행중,2024-03-26,842.0
P0398,S0162,민간기업,펀드운용,대학창업펀드 조성사업,690,2023-01-12,2025-11-06,진행중,2025-11-06,1029.0
P0399,S0391,중앙정부,R&D지원,창업성장기술개발사업,100,2021-07-12,2024-04-10,진행중,2024-04-10,1003.0
P0400,S1560,지자체,기술사업화,초기창업패키지,620,2021-08-02,2024-07-07,진행중,2024-07-07,1070.0
P0401,S1858,중앙정부,위탁용역,신기술 동향 분석 용역,280,2023-08-18,2024-08-26,진행중,2024-08-26,374.0
P0402,S1519,중앙정부,위탁용역,지자체 특화산업 연구용역,320,2022-12-14,2025-02-19,진행중,2025-02-19,798.0
P0403,S1442,중앙정부,위탁용역,공공기관 시스템 구축 용역,420,2023-03-06,2024-06-17,진행중,2024-06-17,469.0
P0404,S0780,중앙정부,기술사업화,실험실 특화형 창업선도대학,340,2022-01-04,2023-12-10,완료,2023-12-10,705.0
P0405,S1808,중앙정부,R&D지원,미래유망 R&D 사업,980,2023-05-10,2024-09-28,진행중,2024-09-28,507.0
P0406,S1873,중앙정부,R&D지원,창업성장기술개발사업,730,2023-06-04,,진행중,2023-12-31,210.0
P0407,S1519,중앙정부,R&D지원,미래유망 R&D 사업,380,2021-06-06,2022-06-21,완료,2022-06-21,380.0
P0408,S0676,중앙정부,기술사업화,초기창업패키지,640,2022-07-18,2024-11-14,진행중,2024-11-14,850.0
P0409,S1403,중앙정부,인력양성,산학연계 인력양성,930,2022-10-20,2025-05-14,진행중,2025-05-14,937.0
P0410,S1005,중앙정부,인력양성,산학연계 인력양성,220,2021-05-24,2023-11-27,완료,2023-11-27,917.0
P0411,S1120,중앙정부,위탁용역,공공기관 시스템 구축 용역,830,2023-09-08,2024-05-05,진행중,2024-05-05,240.0
P0412,S1074,중앙정부,펀드운용,모태펀드 자펀드 운용,70,2023-02-22,2023-08-27,완료,2023-08-27,186.0
P0413,S0845,중앙정부,기술사업화,TIPS 프로그램,910,2021-06-04,2021-12-10,완료,2021-12-10,189.0
P0414,S0448,지자체,R&D지원,미래유망 R&D 사업,850,2022-05-15,2022-11-27,완료,2022-11-27,196.0
P0415,S0014,지자체,기술사업화,TIPS 프로그램,680,2023-01-10,2024-04-15,진행중,2024-04-15,461.0
P0416,S1098,대학,R&D지원,미래유망 R&D 사업,230,2021-04-20,2022-01-23,완료,2022-01-23,278.0
P0417,S1074,중앙정부,R&D지원,산학연 Collabo R&D,460,2021-10-01,2024-06-21,진행중,2024-06-21,994.0
P0418,S0813,중앙정부,위탁용역,지자체 특화산업 연구용역,730,2021-09-07,2024-02-17,진행중,2024-02-17,893.0
P0419,S0463,중앙정부,펀드운용,대학창업펀드 조성사업,840,2023-05-29,2025-09-20,진행중,2025-09-20,845.0
P0420,S1556,중앙정부,기술사업화,기술이전 사업화 지원,710,2022-05-03,2022-12-26,완료,2022-12-26,237.0
P0421,S1305,중앙정부,R&D지원,미래유망 R&D 사업,560,2022-10-23,2025-07-02,진행중,2025-07-02,983.0
P0422,S0679,지자체,위탁용역,신기술 동향 분석 용역,680,2023-07-31,,진행중,2023-12-31,153.0
P0423,S0471,중앙정부,위탁용역,공공기관 시스템 구축 용역,610,2021-10-05,2022-05-20,완료,2022-05-20,227.0
P0424,S0153,지자체,R&D지원,창업성장기술개발사업,230,2023-08-10,2026-06-25,진행중,2026-06-25,1050.0
P0425,S0645,중앙정부,R&D지원,디딤돌 기술개발,970,2023-04-21,,진행중,2023-12-31,254.0
P0426,S1682,중앙정부,R&D지원,디딤돌 기술개발,730,2021-09-04,2023-10-04,완료,2023-10-04,760.0
P0427,S1710,공공기관,기술사업화,실험실 특화형 창업선도대학,500,2023-02-13,2025-09-07,진행중,2025-09-07,937.0
P0428,S0287,공공기관,기술사업화,TIPS 프로그램,650,2023-02-03,2024-07-21,진행중,2024-07-21,534.0
P0429,S0110,중앙정부,R&D지원,창업성장기술개발사업,440,2022-09-12,2025-05-06,진행중,2025-05-06,967.0
P0430,S1258,대학,R&D지원,산학연 Collabo R&D,40,2022-10-12,2024-01-14,진행중,2024-01-14,459.0
P0431,S1605,대학,기술사업화,실험실 특화형 창업선도대학,710,2023-08-22,2025-03-08,진행중,2025-03-08,564.0
P0432,S0885,중앙정부,기술사업화,기술이전 사업화 지원,110,2023-03-02,2025-05-23,진행중,2025-05-23,813.0
P0433,S0605,공공기관,인력양성,청년 디지털 일자리 사업,350,2021-06-07,2022-12-28,완료,2022-12-28,569.0
P0434,S1458,공공기관,R&D지원,미래유망 R&D 사업,410,2022-01-05,2022-10-21,완료,2022-10-21,289.0
P0435,S0188,중앙정부,R&D지원,산학연 Collabo R&D,980,2021-10-04,2022-07-15,완료,2022-07-15,284.0
P0436,S0272,중앙정부,기술사업화,기술이전 사업화 지원,140,2021-01-27,2021-10-25,완료,2021-10-25,271.0
P0437,S0725,지자체,기술사업화,실험실 특화형 창업선도대학,500,2021-01-13,,완료,2023-12-31,1082.0
P0438,S0848,중앙정부,R&D지원,디딤돌 기술개발,740,2022-06-18,2023-06-06,완료,2023-06-06,353.0
P0439,S1404,중앙정부,R&D지원,산학연 Collabo R&D,350,2022-05-20,2023-04-14,완료,2023-04-14,329.0
P0440,S0130,중앙정부,R&D지원,산학연 Collabo R&D,620,2023-03-13,2023-11-26,완료,2023-11-26,258.0
P0441,S0740,중앙정부,R&D지원,미래유망 R&D 사업,770,2022-09-24,2023-10-09,완료,2023-10-09,380.0
P0442,S0938,중앙정부,R&D지원,미래유망 R&D 사업,430,2023-05-12,2025-08-04,진행중,2025-08-04,815.0
P0443,S0779,공공기관,R&D지원,산학연 Collabo R&D,560,2023-04-16,2026-02-02,진행중,2026-02-02,1023.0
P0444,S1761,지자체,기술사업화,실험실 특화형 창업선도대학,420,2022-09-10,2025-02-17,진행중,2025-02-17,891.0
P0445,S0412,중앙정부,R&D지원,미래유망 R&D 사업,410,2021-10-26,,진행중,2023-12-31,796.0
P0446,S1424,지자체,위탁용역,신기술 동향 분석 용역,420,2022-01-21,2023-05-03,완료,2023-05-03,467.0
P0447,S1673,공공기관,R&D지원,디딤돌 기술개발,760,2022-07-13,2023-07-12,완료,2023-07-12,364.0
P0448,S1397,공공기관,R&D지원,미래유망 R&D 사업,910,2021-08-03,2023-04-23,완료,2023-04-23,628.0
P0449,S1634,중앙정부,기술사업화,기술이전 사업화 지원,870,2022-05-27,2023-04-14,완료,2023-04-14,322.0
P0450,S1298,중앙정부,R&D지원,디딤돌 기술개발,920,2022-03-10,2024-11-22,진행중,2024-11-22,988.0
P0451,S0773,중앙정부,위탁용역,지자체 특화산업 연구용역,750,2022-02-15,,진행중,2023-12-31,684.0
P0452,S1038,민간기업,위탁용역,지자체 특화산업 연구용역,700,2021-02-07,2023-10-24,완료,2023-10-24,989.0
